"Program","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","       2008  -  <b>VALUE</b>","       2008  -  <b>CV (%)</b>","       2011  -  <b>VALUE</b>","       2011  -  <b>CV (%)</b>","       2014  -  <b>VALUE</b>","       2014  -  <b>CV (%)</b>","       2019  -  <b>VALUE</b>","       2019  -  <b>CV (%)</b>"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AG LAND","AG LAND, ORGANIC - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA EXEMPT)","","","","","132","36.1","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AG LAND","AG LAND, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","330","","","","166","6.6","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AG LAND","AG LAND, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","103","","121","12.2","129","5.7"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AG LAND","AG LAND, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA EXEMPT)","","","","","45","31.5","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, ORGANIC - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","8,137","","","","","","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, ORGANIC - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","1,049","","","","710","59.4"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","46","","","","","","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AG LAND","AG LAND, PASTURELAND, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","11","","","","23","23.2"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","314","","","","166","6.6","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","93","","","","129","5.7"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (1,000 TO 2,499 $)","56","","","","15","44.7","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (10,000 TO 19,999 $)","38","","","","18","27.1","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (100,000 TO 249,999 $)","14","","","","10","52.4","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (2,500 TO 4,999 $)","53","","","","28","44","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (20,000 TO 24,999 $)","10","","","","14","43.6","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (25,000 TO 39,999 $)","13","","","","12","42.3","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (250,000 TO 499,999 $)","7","","","","12","52.6","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (40,000 TO 49,999 $)","7","","","","2","","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (5,000 TO 9,999 $)","37","","","","13","29.8","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (50,000 TO 99,999 $)","25","","","","16","46.1","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (500,000 OR MORE $)","3","","","","5","32.1","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (LESS THAN 1,000 $)","51","","","","21","23.3","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (1,000 TO 2,499 $)","","","","","","","4","68.7"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (10,000 TO 19,999 $)","","","","","","","33","18.7"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (100,000 TO 199,999 $)","","","6","","","","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (100,000 TO 249,999 $)","","","","","","","12","33.9"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (2,500 TO 4,999 $)","","","","","","","4","82.2"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (20,000 TO 24,999 $)","","","","","","","9","39.4"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (200,000 TO 499,999 $)","","","2","","","","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (25,000 TO 39,999 $)","","","","","","","7",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (250,000 TO 499,999 $)","","","","","","","11","37.2"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (40,000 TO 49,999 $)","","","","","","","6","42.9"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (5,000 TO 9,999 $)","","","","","","","17","32.3"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (50,000 TO 99,999 $)","","","3","","","","12","28.4"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (500,000 OR MORE $)","","","5","","","","10","11.3"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (LESS THAN 1,000 $)","","","","","","","4","84.3"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (LESS THAN 50,000 $)","","","77","","","","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES AS PCT OF FARM SALES: (100 PCT)","240","","","","132","15.2","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES AS PCT OF FARM SALES: (25 TO 49 PCT)","8","","","","2","61.6","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES AS PCT OF FARM SALES: (50 TO 74 PCT)","9","","","","4","85.6","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES AS PCT OF FARM SALES: (75 TO 99 PCT)","31","","","","18","28.6","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES AS PCT OF FARM SALES: (LESS THAN 25 PCT)","50","","","","10","35.4","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES AS PCT OF FARM SALES: (100 PCT)","127","","","","98","19.1","96","10.5"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES AS PCT OF FARM SALES: (25 TO 49 PCT)","5","","","","2","61.6","5","36.2"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES AS PCT OF FARM SALES: (50 TO 74 PCT)","5","","","","2","89.6","14","23.8"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES AS PCT OF FARM SALES: (75 TO 99 PCT)","15","","","","9","55.3","8","45.8"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES AS PCT OF FARM SALES: (LESS THAN 25 PCT)","28","","","","10","35.4","6","28.6"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA EXEMPT) AND SALES AS PCT OF FARM SALES: (100 PCT)","113","","","","34","34.9","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA EXEMPT) AND SALES AS PCT OF FARM SALES: (25 TO 49 PCT)","3","","","","","","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA EXEMPT) AND SALES AS PCT OF FARM SALES: (50 TO 74 PCT)","4","","","","2","","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA EXEMPT) AND SALES AS PCT OF FARM SALES: (75 TO 99 PCT)","16","","","","9","73.4","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS AND SALES AS PCT OF FARM SALES","ORGANIC STATUS: (NOP USDA EXEMPT) AND SALES AS PCT OF FARM SALES: (LESS THAN 25 PCT)","22","","","","","","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","10,077,721","","","","13,356,000","64","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","7,475,413","","13,224,000","64.1","17,283,000","25.4"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (1,000 TO 2,499 $)","85,757","","","","26,000","51.2","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (10,000 TO 19,999 $)","541,982","","","","256,000","27.8","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (100,000 TO 249,999 $)","1,803,191","","","","1,240,000","55.5","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (2,500 TO 4,999 $)","195,295","","","","93,000","44.6","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (20,000 TO 24,999 $)","226,336","","","","300,000","42.9","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (25,000 TO 39,999 $)","392,716","","","","376,000","45.9","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (250,000 TO 499,999 $)","2,261,080","","","","4,462,000","57.5","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (40,000 TO 49,999 $)","300,200","","",""," (D)"," (D)","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (5,000 TO 9,999 $)","240,738","","","","95,000","31","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (50,000 TO 99,999 $)","1,646,222","","","","1,029,000","50.2","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (500,000 OR MORE $)","2,360,000","","","","5,389,000","70.5","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT) AND SALES: (LESS THAN 1,000 $)","24,204","","",""," (D)"," (D)","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (1,000 TO 2,499 $)","","","","","","","5,000","71.7"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (10,000 TO 19,999 $)","","","","","","","472,000","19.9"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (100,000 TO 199,999 $)","","","796,479","","","","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (100,000 TO 249,999 $)","","","","","","","1,847,000","33.2"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (2,500 TO 4,999 $)","","","","","","","16,000","82.8"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (20,000 TO 24,999 $)","","","","","","","201,000","39.3"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (200,000 TO 499,999 $)","","","798,464","","","","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (25,000 TO 39,999 $)","","","","","","","227,000",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (250,000 TO 499,999 $)","","","","","","","3,557,000","39.3"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (40,000 TO 49,999 $)","","","","","","","244,000","42.4"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (5,000 TO 9,999 $)","","","","","","","122,000","35.4"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (50,000 TO 99,999 $)","","","257,933","","","","941,000","29.7"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (500,000 OR MORE $)","","","4,594,292","","","","9,650,000","27"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (LESS THAN 1,000 $)","","","","","","","1,000","89.9"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","COMMODITY TOTALS","COMMODITY TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS AND SALES","ORGANIC STATUS: (NOP USDA CERTIFIED) AND SALES: (LESS THAN 50,000 $)","","","1,028,244","","","","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","338","","","","166","6.6","",""
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","180","","103","","121","12.2","129","5.7"
"CENSUS","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIC - NUMBER OF OPERATIONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA EXEMPT)","158","","","","45","31.5","",""
"CENSUS","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED, ORGANIC - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT)","93,946","","","","","","",""
"CENSUS","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","AG LAND","AG LAND, CROPLAND, HARVESTED, ORGANIC - ACRES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","","","78,594","","","","",""
